,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,devrait,should
20,21,bébé,baby
21,22,longtemps,long time
22,23,heures,hours
23,24,vont,will
24,25,pendant,while
25,26,revoir,meet again
26,27,aucune,any
27,28,place,square
28,30,compris,understood
29,31,savais,knew
30,32,étaient,were
31,33,attention,Warning
32,34,voici,here is
33,35,pourrais,could
34,36,affaire,case
35,37,donner,give
36,38,type,type
37,39,leurs,their
38,40,donné,given
39,42,corps,body
40,43,endroit,place
41,44,yeux,eyes
42,45,façon,way
43,46,écoute,listen
44,47,dont,whose
45,48,trouve,find
46,49,premier,first
47,50,perdu,lost
48,51,main,hand
49,52,première,first
50,53,côté,side
51,54,pouvoir,power
52,55,vieux,old
53,56,sois,be
54,57,tiens,here
55,58,matin,morning
56,59,tellement,so much
57,60,point,point
58,61,venu,came
59,63,venez,come
60,64,devant,in front of
61,65,vers,towards
62,66,minutes,minutes
63,67,demandé,request
64,68,chambre,bedroom
65,69,mis,placed
66,70,belle,beautiful
67,71,droit,law
68,72,aujourd'hui,today
69,73,mari,husband
70,74,cause,cause
71,75,enfin,finally
72,76,espère,hope
73,78,attendez,Wait
74,79,parti,left
75,80,nouvelle,new
76,81,boulot,job
77,82,arrêter,Stop
78,83,dirait,would say
79,84,terre,Earth
80,85,compte,account
81,86,donne,given
82,87,fin,end
83,88,croire,believe
84,89,chérie,sweetheart
85,91,plutôt,rather
86,92,aura,will have
87,93,filles,girls
88,94,jouer,to play
89,95,bureau,office
